Date,Order,Item Purchased,Sales,Review Rating,Shipping Type,Discount Applied,Promo Code Used
2023-01-01,3164576526,Skirt,2,3.1,Express,Yes,Yes
2023-01-02,3165351216,Shirt,2,3.1,Express,Yes,Yes
2023-01-02,12-10986-29949,Blouse,4,3.1,Free Shipping,Yes,Yes
2023-01-02,3166515488,Shirt,5,3.5,Next Day Air,Yes,Yes
2023-01-02,3166572296-1,Shirt,2,2.7,Free Shipping,Yes,Yes
2023-01-02,3157012815,Shirt,2,2.9,Standard,Yes,Yes
2023-01-02,3165186926,Shirt,1,3.2,Free Shipping,Yes,Yes
2023-01-02,05-10999-51755,Blouse,1,3.2,Free Shipping,Yes,Yes
2023-01-02,3157538231,Shirt,5,2.6,Express,Yes,Yes
2023-01-02,22-10988-51411,Blouse,1,4.8,2-Day Shipping,Yes,Yes
2023-01-02,01-10929-99035RP,Blouse,1,4.1,Store Pickup,Yes,Yes
2023-01-02,01-10995-61782,Blouse,3,4.9,Store Pickup,Yes,Yes
2023-01-02,14-10914-10426RP,Blouse,1,4.5,Express,Yes,Yes
2023-01-02,17-10991-49722,Blouse,3,4.7,Express,Yes,Yes
2023-01-02,24-10997-51856,Blouse,5,4.7,Free Shipping,Yes,Yes
2023-01-02,3157769235,Shirt,5,2.8,Store Pickup,Yes,Yes
2023-01-02,3159296941,Shirt,4,4.1,Next Day Air,Yes,Yes
2023-01-02,3166572296-2,Shirt,2,4.7,2-Day Shipping,Yes,Yes
2023-01-02,17-10986-30426,Blouse,5,4.6,Free Shipping,Yes,Yes
2023-01-02,3156796417,Shirt,4,3.3,Standard,Yes,Yes
2023-01-02,01-10914-53853RP,Blouse,1,2.8,Express,Yes,Yes
2023-01-02,14-10990-73674,Blouse,5,4.1,Store Pickup,Yes,Yes
2023-01-02,3166278318,Shirt,2,3.2,Store Pickup,Yes,Yes
2023-01-02,18-10985-48217,Blouse,5,4.4,Express,Yes,Yes
2023-01-02,26-10974-13151,Blouse,3,2.9,Store Pickup,Yes,Yes
2023-01-02,3158536807,Shirt,4,3.6,Express,Yes,Yes
2023-01-02,3166228690,Shirt,5,3.6,Next Day Air,Yes,Yes
