Date,Item Purchased,Sales,sale_prediction
2023-01-02,Blouse,134.0,
2023-01-03,Blouse,57.0,
2023-01-04,Blouse,92.0,
2023-01-05,Blouse,59.0,
2023-01-06,Blouse,50.0,
2023-01-08,Blouse,226.0,
2023-01-09,Blouse,78.0,
2023-01-10,Blouse,66.0,
2023-01-11,Blouse,104.0,
2023-01-12,Blouse,25.0,
2023-01-13,Blouse,109.0,
2023-01-15,Blouse,127.0,
2023-01-16,Blouse,74.0,
2023-01-17,Blouse,37.0,
2023-01-18,Blouse,61.0,
2023-01-20,Blouse,76.0,
2023-01-22,Blouse,158.0,
2023-01-23,Blouse,32.0,
2023-01-24,Blouse,34.0,
2023-01-25,Blouse,37.0,
2023-01-26,Blouse,69.0,
2023-01-27,Blouse,33.0,
2023-01-29,Blouse,82.0,
2023-01-30,Blouse,29.0,
2023-01-31,Blouse,16.0,
2023-02-01,Blouse,31.0,
2023-02-02,Blouse,29.0,
2023-02-03,Blouse,26.0,
2023-02-05,Blouse,37.0,
2023-02-06,Blouse,12.0,
2023-02-09,Blouse,30.0,
2023-02-13,Blouse,7.0,
2023-02-15,Blouse,31.0,
2023-02-17,Blouse,5.0,
2023-02-19,Blouse,4.0,
2023-02-26,Blouse,4.0,
2023-02-27,Blouse,5.0,
2023-02-28,Blouse,9.0,
2023-03-07,Blouse,2.0,
2023-03-08,Blouse,2.0,
2023-03-20,Blouse,3.0,
2023-03-21,,,33.731552
2023-03-22,,,35.251614
2023-03-23,,,36.316254
2023-03-24,,,37.986763
2023-03-25,,,39.66664
2023-03-26,,,41.314503
2023-03-27,,,42.89622
2023-03-28,,,44.338646
2023-03-29,,,45.879555
2023-03-30,,,47.34703
2023-03-31,,,48.72348
2023-04-01,,,49.370705
2023-04-02,,,49.973328
2023-04-03,,,50.53775
2023-04-04,,,51.046154
2023-04-05,,,51.49915
2023-04-06,,,51.897556
2023-04-07,,,52.245422
2023-04-08,,,52.54812
2023-04-09,,,52.80446
2023-04-10,,,53.019226
2023-04-11,,,53.194473
2023-04-12,,,53.349552
2023-04-13,,,53.48587
2023-04-14,,,53.604717
2023-04-15,,,53.70768
2023-04-16,,,53.796432
2023-04-17,,,53.87281
2023-04-18,,,53.938393
2023-04-19,,,53.994736
2023-04-20,,,54.04309
2023-04-21,,,54.084724
2023-04-22,,,54.120884
2023-04-23,,,54.15225
2023-04-24,,,54.179382
2023-04-25,,,54.202774
2023-04-26,,,54.22295
2023-04-27,,,54.24035
2023-04-28,,,54.25534
2023-04-29,,,54.268284
2023-04-30,,,54.27944
2023-05-01,,,54.289093
2023-05-02,,,54.29744
2023-05-03,,,54.304634
2023-05-04,,,54.31085
2023-05-05,,,54.316216
2023-05-06,,,54.32086
2023-05-07,,,54.324875
2023-05-08,,,54.32832
2023-05-09,,,54.331303
2023-05-10,,,54.333874
2023-05-11,,,54.336105
2023-05-12,,,54.33802
2023-05-13,,,54.339687
2023-05-14,,,54.341125
2023-05-15,,,54.342365
2023-05-16,,,54.343422
2023-05-17,,,54.34435
2023-05-18,,,54.345142
2023-05-19,,,54.345837
