Date,Item Purchased,Sales,sale_prediction
2023-01-02,Dress,13.0,
2023-01-03,Dress,6.0,
2023-01-04,Dress,8.0,
2023-01-05,Dress,42.0,
2023-01-06,Dress,10.0,
2023-01-08,Dress,24.0,
2023-01-09,Dress,6.0,
2023-01-10,Dress,11.0,
2023-01-11,Dress,5.0,
2023-01-12,Dress,1.0,
2023-01-13,Dress,4.0,
2023-01-15,Dress,7.0,
2023-01-16,Dress,22.0,
2023-01-18,Dress,2.0,
2023-01-19,Dress,24.0,
2023-01-22,Dress,1.0,
2023-01-23,Dress,6.0,
2023-01-26,Dress,8.0,
2023-01-27,Dress,11.0,
2023-01-29,Dress,6.0,
2023-01-31,Dress,15.0,
2023-02-01,Dress,5.0,
2023-02-02,Dress,18.0,
2023-02-03,Dress,12.0,
2023-02-04,Dress,1.0,
2023-02-05,Dress,54.0,
2023-02-06,Dress,53.0,
2023-02-07,Dress,3.0,
2023-02-08,Dress,83.0,
2023-02-09,Dress,5.0,
2023-02-11,Dress,61.0,
2023-02-16,Dress,59.0,
2023-02-19,Dress,27.0,
2023-02-20,Dress,8.0,
2023-02-22,Dress,6.0,
2023-02-23,Dress,6.0,
2023-02-24,Dress,12.0,
2023-02-26,Dress,2.0,
2023-03-01,Dress,2.0,
2023-03-04,Dress,2.0,
2023-03-05,Dress,3.0,
2023-03-06,Dress,2.0,
2023-03-09,Dress,2.0,
2023-03-14,Dress,4.0,
2023-03-15,Dress,2.0,
2023-03-16,Dress,5.0,
2023-03-19,Dress,5.0,
2023-03-20,Dress,11.0,
2023-03-21,Dress,6.0,
2023-03-22,Dress,4.0,
2023-03-25,Dress,5.0,
2023-03-26,Dress,5.0,
2023-03-29,Dress,4.0,
2023-03-30,Dress,3.0,
2023-04-01,Dress,2.0,
2023-04-03,Dress,2.0,
2023-04-05,Dress,2.0,
2023-04-09,Dress,1.0,
2023-04-10,Dress,2.0,
2023-04-11,Dress,16.0,
2023-04-12,Dress,10.0,
2023-04-15,Dress,26.0,
2023-04-16,Dress,4.0,
2023-04-20,Dress,2.0,
2023-04-26,Dress,1.0,
2023-04-27,,,11.42182
2023-04-28,,,11.771576
2023-04-29,,,12.110018
2023-04-30,,,12.429724
2023-05-01,,,12.706138
2023-05-02,,,12.873585
2023-05-03,,,13.0567875
2023-05-04,,,13.164366
2023-05-05,,,13.375198
2023-05-06,,,13.569619
2023-05-07,,,13.740931
2023-05-08,,,13.819519
2023-05-09,,,13.885518
2023-05-10,,,13.940506
2023-05-11,,,13.985998
2023-05-12,,,14.023569
2023-05-13,,,14.054811
2023-05-14,,,14.080564
2023-05-15,,,14.101855
2023-05-16,,,14.118793
2023-05-17,,,14.132117
2023-05-18,,,14.1425905
2023-05-19,,,14.15111
2023-05-20,,,14.158029
2023-05-21,,,14.163637
2023-05-22,,,14.168173
2023-05-23,,,14.171839
2023-05-24,,,14.174792
2023-05-25,,,14.177175
2023-05-26,,,14.179086
2023-05-27,,,14.180631
2023-05-28,,,14.181871
2023-05-29,,,14.182878
2023-05-30,,,14.183686
2023-05-31,,,14.184339
2023-06-01,,,14.184866
2023-06-02,,,14.185293
2023-06-03,,,14.185636
2023-06-04,,,14.18591
2023-06-05,,,14.186133
2023-06-06,,,14.186313
2023-06-07,,,14.186459
2023-06-08,,,14.186576
2023-06-09,,,14.18667
2023-06-10,,,14.186745
2023-06-11,,,14.186809
2023-06-12,,,14.186858
2023-06-13,,,14.186897
2023-06-14,,,14.18693
2023-06-15,,,14.1869545
2023-06-16,,,14.186975
2023-06-17,,,14.186991
2023-06-18,,,14.187005
2023-06-19,,,14.1870165
2023-06-20,,,14.187026
2023-06-21,,,14.187033
2023-06-22,,,14.1870365
2023-06-23,,,14.187043
2023-06-24,,,14.187045
2023-06-25,,,14.18705
