Date,Item Purchased,Sales,sale_prediction
2023-01-02,Shirt,65.0,
2023-01-04,Shirt,40.0,
2023-01-05,Shirt,21.0,
2023-01-06,Shirt,26.0,
2023-01-08,Shirt,40.0,
2023-01-09,Shirt,32.0,
2023-01-10,Shirt,37.0,
2023-01-11,Shirt,15.0,
2023-01-12,Shirt,20.0,
2023-01-13,Shirt,13.0,
2023-01-15,Shirt,28.0,
2023-01-16,Shirt,15.0,
2023-01-17,Shirt,13.0,
2023-01-18,Shirt,11.0,
2023-01-19,Shirt,3.0,
2023-01-22,Shirt,60.0,
2023-01-23,Shirt,13.0,
2023-01-24,Shirt,17.0,
2023-01-27,Shirt,32.0,
2023-01-29,Shirt,18.0,
2023-01-30,Shirt,15.0,
2023-01-31,Shirt,39.0,
2023-02-01,Shirt,20.0,
2023-02-02,Shirt,9.0,
2023-02-05,Shirt,86.0,
2023-02-06,Shirt,43.0,
2023-02-08,Shirt,62.0,
2023-02-11,Shirt,22.0,
2023-02-15,Shirt,39.0,
2023-02-16,Shirt,5.0,
2023-02-19,Shirt,23.0,
2023-02-20,Shirt,1.0,
2023-02-21,Shirt,9.0,
2023-02-22,Shirt,3.0,
2023-02-23,Shirt,8.0,
2023-02-24,Shirt,7.0,
2023-02-26,Shirt,11.0,
2023-02-28,Shirt,12.0,
2023-03-01,Shirt,4.0,
2023-03-03,Shirt,5.0,
2023-03-04,Shirt,8.0,
2023-03-05,Shirt,5.0,
2023-03-06,Shirt,10.0,
2023-03-07,Shirt,29.0,
2023-03-08,Shirt,18.0,
2023-03-09,Shirt,9.0,
2023-03-11,Shirt,25.0,
2023-03-12,Shirt,13.0,
2023-03-13,Shirt,12.0,
2023-03-14,Shirt,8.0,
2023-03-15,Shirt,6.0,
2023-03-16,Shirt,4.0,
2023-03-18,Shirt,10.0,
2023-03-19,Shirt,11.0,
2023-03-20,Shirt,5.0,
2023-03-21,Shirt,11.0,
2023-03-22,Shirt,3.0,
2023-03-23,Shirt,11.0,
2023-03-25,Shirt,2.0,
2023-03-26,Shirt,4.0,
2023-03-27,Shirt,5.0,
2023-03-28,Shirt,3.0,
2023-03-29,Shirt,13.0,
2023-03-31,Shirt,1.0,
2023-04-01,Shirt,20.0,
2023-04-02,Shirt,8.0,
2023-04-03,Shirt,37.0,
2023-04-04,Shirt,19.0,
2023-04-06,Shirt,7.0,
2023-04-07,Shirt,71.0,
2023-04-08,Shirt,29.0,
2023-04-09,Shirt,221.0,
2023-04-10,Shirt,2.0,
2023-04-11,Shirt,7.0,
2023-04-12,Shirt,3.0,
2023-04-15,Shirt,9.0,
2023-04-16,Shirt,5.0,
2023-04-17,Shirt,5.0,
2023-04-19,Shirt,1.0,
2023-04-20,Shirt,1.0,
2023-04-22,Shirt,8.0,
2023-04-23,Shirt,1.0,
2023-04-24,Shirt,4.0,
2023-04-25,Shirt,7.0,
2023-04-27,Shirt,3.0,
2023-04-28,,,9.108792
2023-04-29,,,9.692935
2023-04-30,,,10.308487
2023-05-01,,,10.909766
2023-05-02,,,11.495942
2023-05-03,,,12.047274
2023-05-04,,,12.513906
2023-05-05,,,12.982598
2023-05-06,,,13.386112
2023-05-07,,,13.729492
2023-05-08,,,14.053474
2023-05-09,,,14.302188
2023-05-10,,,14.523883
2023-05-11,,,14.7186575
2023-05-12,,,14.88883
2023-05-13,,,15.036348
2023-05-14,,,15.164423
2023-05-15,,,15.27532
2023-05-16,,,15.37107
2023-05-17,,,15.452916
2023-05-18,,,15.523554
2023-05-19,,,15.584635
2023-05-20,,,15.637486
2023-05-21,,,15.682989
2023-05-22,,,15.722226
2023-05-23,,,15.756076
2023-05-24,,,15.785102
2023-05-25,,,15.809823
2023-05-26,,,15.831089
2023-05-27,,,15.8493805
2023-05-28,,,15.865106
2023-05-29,,,15.87862
2023-05-30,,,15.890228
2023-05-31,,,15.900203
2023-06-01,,,15.908768
2023-06-02,,,15.916116
2023-06-03,,,15.922418
2023-06-04,,,15.927831
2023-06-05,,,15.932482
2023-06-06,,,15.936475
2023-06-07,,,15.939901
2023-06-08,,,15.942842
2023-06-09,,,15.945371
2023-06-10,,,15.947539
2023-06-11,,,15.949398
2023-06-12,,,15.950999
2023-06-13,,,15.952372
2023-06-14,,,15.953551
2023-06-15,,,15.954561
2023-06-16,,,15.95543
2023-06-17,,,15.956174
2023-06-18,,,15.956817
2023-06-19,,,15.957366
2023-06-20,,,15.957838
2023-06-21,,,15.958244
2023-06-22,,,15.958591
2023-06-23,,,15.958887
2023-06-24,,,15.959147
2023-06-25,,,15.959364
2023-06-26,,,15.959558
