Date,Item Purchased,Sales,sale_prediction
2023-01-01,Skirt,2.0,
2023-01-02,Skirt,5.0,
2023-01-04,Skirt,3.0,
2023-01-06,Skirt,3.0,
2023-01-08,Skirt,2.0,
2023-01-10,Skirt,12.0,
2023-01-12,Skirt,8.0,
2023-01-14,Skirt,7.0,
2023-01-15,Skirt,11.0,
2023-01-16,Skirt,5.0,
2023-01-18,Skirt,3.0,
2023-01-19,Skirt,4.0,
2023-01-20,Skirt,1.0,
2023-01-22,Skirt,10.0,
2023-01-23,Skirt,12.0,
2023-01-29,Skirt,7.0,
2023-01-30,Skirt,3.0,
2023-01-31,Skirt,2.0,
2023-02-01,Skirt,3.0,
2023-02-02,Skirt,10.0,
2023-02-03,Skirt,8.0,
2023-02-04,Skirt,6.0,
2023-02-05,Skirt,5.0,
2023-02-06,Skirt,3.0,
2023-02-07,Skirt,13.0,
2023-02-11,Skirt,1.0,
2023-02-12,Skirt,5.0,
2023-02-13,Skirt,5.0,
2023-02-15,Skirt,9.0,
2023-02-16,Skirt,7.0,
2023-02-17,Skirt,4.0,
2023-02-18,Skirt,4.0,
2023-02-19,Skirt,10.0,
2023-02-20,Skirt,7.0,
2023-02-21,Skirt,3.0,
2023-02-22,Skirt,4.0,
2023-02-23,Skirt,6.0,
2023-02-26,Skirt,7.0,
2023-02-27,Skirt,4.0,
2023-03-01,Skirt,7.0,
2023-03-04,Skirt,13.0,
2023-03-05,Skirt,5.0,
2023-03-07,Skirt,11.0,
2023-03-11,Skirt,8.0,
2023-03-12,Skirt,9.0,
2023-03-13,Skirt,6.0,
2023-03-15,Skirt,6.0,
2023-03-16,Skirt,5.0,
2023-03-19,Skirt,1.0,
2023-03-20,Skirt,5.0,
2023-03-23,Skirt,2.0,
2023-03-27,Skirt,5.0,
2023-03-29,Skirt,4.0,
2023-04-01,Skirt,4.0,
2023-04-02,Skirt,5.0,
2023-04-05,Skirt,1.0,
2023-04-08,Skirt,1.0,
2023-04-09,Skirt,11.0,
2023-04-10,Skirt,12.0,
2023-04-11,Skirt,2.0,
2023-04-12,Skirt,1.0,
2023-04-16,Skirt,1.0,
2023-04-17,Skirt,3.0,
2023-04-19,Skirt,8.0,
2023-04-20,Skirt,12.0,
2023-04-22,Skirt,3.0,
2023-04-25,Skirt,4.0,
2023-04-26,Skirt,5.0,
2023-04-29,Skirt,5.0,
2023-05-01,Skirt,1.0,
2023-05-03,Skirt,19.0,
2023-05-04,,,6.440856
2023-05-05,,,6.602061
2023-05-06,,,6.714528
2023-05-07,,,6.694023
2023-05-08,,,6.520376
2023-05-09,,,6.623808
2023-05-10,,,6.7004166
2023-05-11,,,6.7495003
2023-05-12,,,6.796373
2023-05-13,,,6.933316
2023-05-14,,,6.4816065
2023-05-15,,,6.4854336
2023-05-16,,,6.4815435
2023-05-17,,,6.473556
2023-05-18,,,6.465484
2023-05-19,,,6.462
2023-05-20,,,6.455664
2023-05-21,,,6.44748
2023-05-22,,,6.437569
2023-05-23,,,6.4272585
2023-05-24,,,6.411448
2023-05-25,,,6.4092164
2023-05-26,,,6.406727
2023-05-27,,,6.4042454
2023-05-28,,,6.4019613
2023-05-29,,,6.3998938
2023-05-30,,,6.397902
2023-05-31,,,6.396083
2023-06-01,,,6.394476
2023-06-02,,,6.393143
2023-06-03,,,6.392069
2023-06-04,,,6.391446
2023-06-05,,,6.390874
2023-06-06,,,6.3903656
2023-06-07,,,6.389922
2023-06-08,,,6.38954
2023-06-09,,,6.389212
2023-06-10,,,6.3889394
2023-06-11,,,6.3887134
2023-06-12,,,6.3885317
2023-06-13,,,6.388385
2023-06-14,,,6.3882675
2023-06-15,,,6.3881664
2023-06-16,,,6.3880787
2023-06-17,,,6.3880076
2023-06-18,,,6.387947
2023-06-19,,,6.3878975
2023-06-20,,,6.3878546
2023-06-21,,,6.3878207
2023-06-22,,,6.3877916
2023-06-23,,,6.3877683
2023-06-24,,,6.3877487
2023-06-25,,,6.3877325
2023-06-26,,,6.387718
2023-06-27,,,6.3877077
2023-06-28,,,6.387698
2023-06-29,,,6.3876896
2023-06-30,,,6.3876834
2023-07-01,,,6.387678
2023-07-02,,,6.3876743
